"date_of_interest","Bronx_CASE_COUNT","Brooklyn_CASE_COUNT","Manhattan_CASE_COUNT","Queens_CASE_COUNT","StatenIsland_CASE_COUNT","Bronx_DEATH_COUNT","Brooklyn_DEATH_COUNT","Manhattan_DEATH_COUNT","Queens_DEATH_COUNT","StatenIsland_DEATH_COUNT","Bronx_HOSPITALIZED_COUNT","Brooklyn_HOSPITALIZED_COUNT","Manhattan_HOSPITALIZED_COUNT","Queens_HOSPITALIZED_COUNT","StatenIsland_HOSPITALIZED_COUNT"
2022-02-22,67,219,192,153,54,2,4,2,4,0,11,19,2,13,9
2022-02-23,68,200,259,140,36,3,6,2,7,1,13,9,7,11,3
2022-02-24,77,176,204,163,40,4,6,3,3,2,11,8,9,12,3
2022-02-25,32,184,165,119,38,4,3,2,6,2,4,18,4,11,7
2022-02-26,32,105,109,69,21,0,1,1,4,0,5,8,6,9,1
2022-02-27,27,126,115,68,24,1,4,5,7,1,5,7,4,9,4
2022-02-28,57,197,248,156,49,3,1,1,1,0,9,15,8,17,2
2022-03-01,56,181,230,111,33,4,3,2,7,3,11,10,8,10,4
2022-03-02,47,192,235,122,46,2,10,2,2,1,11,13,3,9,5
2022-03-03,51,159,230,123,23,0,4,1,2,1,9,10,8,10,4
2022-03-04,45,139,150,106,21,3,3,1,3,0,8,10,7,14,1
2022-03-05,29,86,107,66,29,5,2,1,1,2,7,5,3,7,4
2022-03-06,23,122,109,69,16,2,2,1,3,0,5,5,3,5,2
2022-03-07,38,230,241,110,37,1,2,0,5,2,3,6,5,7,4
2022-03-08,52,245,238,111,36,1,3,0,1,0,5,7,5,3,3
2022-03-09,42,221,228,109,25,2,3,2,4,0,8,5,2,7,4
2022-03-10,49,241,259,119,30,2,3,2,2,0,7,10,2,9,0
2022-03-11,59,207,204,104,30,1,3,1,3,0,5,7,5,3,2
2022-03-12,21,104,101,60,14,2,4,1,2,0,4,6,3,6,1
2022-03-13,35,129,151,93,27,1,4,1,2,2,2,7,2,11,2
2022-03-14,69,330,320,147,36,3,3,2,4,3,3,7,7,13,2
2022-03-15,61,313,300,141,33,5,1,3,0,1,8,8,7,3,3
2022-03-16,70,275,349,154,24,2,1,0,5,1,5,5,5,7,3
2022-03-17,66,246,288,125,29,0,1,1,1,1,4,9,2,8,5
2022-03-18,63,238,319,154,28,1,2,1,1,1,4,8,3,17,2
2022-03-19,26,132,174,90,26,0,3,0,1,1,4,5,9,1,3
2022-03-20,28,211,251,134,29,0,2,3,2,1,3,11,4,7,1
2022-03-21,105,399,555,208,45,0,2,1,0,0,6,9,6,3,3
2022-03-22,92,427,497,214,55,0,1,0,2,1,5,10,7,4,4
2022-03-23,85,403,492,225,63,1,0,0,0,3,6,6,7,3,0
2022-03-24,104,356,447,217,53,1,1,2,1,0,2,11,2,6,3
2022-03-25,94,333,411,211,45,3,0,0,2,0,5,9,10,14,0
2022-03-26,49,230,217,128,55,2,1,2,0,0,4,4,5,10,2
2022-03-27,48,268,272,150,39,1,3,1,1,0,4,8,2,5,3
2022-03-28,124,437,572,304,77,1,2,2,0,0,6,7,6,10,2
2022-03-29,110,481,494,261,89,2,1,0,2,0,2,12,2,11,2
2022-03-30,119,455,549,310,82,0,3,0,1,1,9,13,6,13,0
2022-03-31,97,447,588,277,99,1,1,0,1,0,5,8,15,9,6
2022-04-01,112,399,475,285,66,1,1,1,2,0,5,5,14,5,5
2022-04-02,70,286,311,175,35,0,0,0,1,1,5,7,8,8,1
2022-04-03,54,292,305,189,63,2,0,1,0,1,7,6,6,4,3
2022-04-04,187,619,793,458,96,1,0,2,2,0,3,10,14,10,2
2022-04-05,149,630,718,368,111,0,2,0,1,1,8,24,5,7,4
2022-04-06,149,649,823,386,88,1,1,0,1,0,6,16,8,11,2
2022-04-07,144,587,776,380,121,0,0,0,2,0,8,16,9,11,1
2022-04-08,136,550,643,427,127,0,1,0,1,1,10,14,11,9,2
2022-04-09,69,371,402,263,65,0,1,2,1,1,6,13,8,14,1
2022-04-10,69,343,450,240,88,3,2,0,1,1,9,7,15,10,2
2022-04-11,223,765,935,503,167,0,0,1,1,0,9,15,14,14,5
2022-04-12,206,712,889,495,121,1,3,1,0,0,9,12,11,10,2
2022-04-13,201,732,906,576,191,1,0,0,0,1,8,18,9,8,6
2022-04-14,192,639,802,551,122,0,2,2,3,0,7,14,12,10,5
2022-04-15,137,592,672,479,123,0,4,2,0,0,13,15,6,16,4
2022-04-16,116,350,322,329,87,0,1,0,2,1,9,12,8,11,1
2022-04-17,80,289,302,234,61,1,1,0,2,0,12,9,13,13,3
2022-04-18,186,663,765,565,167,0,2,0,0,1,10,20,11,14,4
2022-04-19,180,677,733,597,114,0,2,0,2,1,6,23,12,18,3
2022-04-20,194,581,683,583,125,0,0,0,1,0,6,20,8,11,2
2022-04-21,177,614,551,495,157,1,3,0,1,0,11,13,11,14,12
2022-04-22,171,512,464,518,151,0,3,2,1,0,8,21,23,24,9
2022-04-23,116,462,338,405,90,0,2,0,1,0,14,15,11,14,2
2022-04-24,112,422,349,428,151,0,0,0,3,1,8,14,11,14,2
2022-04-25,293,927,761,768,168,0,0,2,1,0,5,16,20,17,9
2022-04-26,260,833,901,757,198,1,2,2,1,1,16,13,11,26,5
2022-04-27,298,831,758,759,141,0,1,0,3,0,17,26,23,17,5
2022-04-28,246,809,691,764,159,1,0,3,0,0,10,31,18,15,3
2022-04-29,230,828,816,763,148,1,0,0,2,0,19,19,15,18,6
2022-04-30,137,498,382,491,111,1,0,1,2,2,14,14,15,22,5
2022-05-01,131,564,592,479,111,1,2,0,1,0,9,19,15,17,3
2022-05-02,296,1191,1194,1000,210,0,2,2,0,1,15,20,14,15,4
2022-05-03,330,1126,1017,1066,236,1,1,1,2,0,19,23,20,24,6
2022-05-04,327,1116,962,1046,264,0,0,2,1,1,11,29,24,15,9
2022-05-05,377,1079,799,1085,231,0,1,2,1,0,24,23,20,25,11
2022-05-06,278,876,706,982,239,3,2,0,1,0,10,24,17,26,10
2022-05-07,161,523,441,567,161,0,3,1,3,0,15,22,16,14,10
2022-05-08,150,634,458,538,192,0,3,0,0,0,8,19,13,19,7
2022-05-09,472,1265,1009,1296,304,0,5,1,1,1,15,27,26,24,9
2022-05-10,376,1333,910,1148,273,0,0,0,1,0,20,23,19,33,8
2022-05-11,433,1257,956,1143,294,0,5,1,4,1,28,35,14,22,5
2022-05-12,440,1210,860,1171,312,1,6,1,1,0,21,17,24,27,9
2022-05-13,410,1078,713,1060,266,0,1,0,1,0,23,40,21,30,9
2022-05-14,238,733,508,740,214,2,2,2,5,1,15,36,21,29,4
2022-05-15,209,749,451,635,195,1,4,2,2,0,21,18,11,26,9
2022-05-16,559,1401,976,1248,318,1,1,0,3,0,15,33,28,33,14
2022-05-17,478,1205,967,1155,337,1,2,2,0,2,28,26,31,24,13
2022-05-18,551,1253,930,1177,344,0,6,0,2,0,16,24,31,31,7
2022-05-19,490,1143,789,1045,279,1,2,1,1,0,11,21,13,22,11
2022-05-20,432,1028,761,972,244,2,1,2,4,0,36,28,22,36,6
2022-05-21,287,663,576,731,195,3,5,2,3,0,36,36,18,27,14
2022-05-22,214,721,598,612,188,0,0,1,3,1,17,41,22,25,6
2022-05-23,557,1405,1094,1277,363,1,5,2,1,1,20,42,34,32,7
2022-05-24,521,1174,960,1019,277,2,6,2,2,2,10,47,15,28,8
2022-05-25,453,1199,885,1085,262,2,4,0,3,2,25,48,23,29,8
2022-05-26,431,997,727,915,235,1,3,0,2,0,23,30,23,27,15
2022-05-27,370,880,693,837,178,0,2,2,3,1,20,27,13,24,7
2022-05-28,193,566,483,590,174,1,4,2,1,0,10,20,15,13,12
2022-05-29,182,599,404,483,119,1,2,1,3,5,14,37,11,17,8
2022-05-30,210,519,425,467,102,0,3,2,0,0,17,27,18,23,10
2022-05-31,513,1313,1002,1156,296,2,3,0,2,0,21,29,27,36,9
2022-06-01,502,1116,803,950,231,2,3,2,2,0,19,37,15,28,9
2022-06-02,381,1010,754,845,206,1,5,2,5,0,20,29,25,31,10
2022-06-03,350,804,654,823,169,0,5,1,1,2,16,30,14,27,7
2022-06-04,193,532,402,507,140,4,1,1,2,2,8,22,10,16,10
2022-06-05,172,475,395,510,115,1,4,3,2,0,19,22,13,16,8
2022-06-06,427,984,712,988,213,2,4,2,4,3,21,34,21,32,9
2022-06-07,380,901,603,853,175,2,1,2,1,1,24,27,11,21,7
2022-06-08,337,916,626,842,197,2,4,3,4,2,21,46,19,30,7
2022-06-09,315,788,566,705,160,0,5,2,3,1,15,40,28,27,4
2022-06-10,319,721,480,738,157,3,1,3,5,0,19,35,14,29,6
2022-06-11,197,412,254,494,103,3,4,0,5,1,14,34,16,20,5
2022-06-12,154,425,341,454,137,1,3,3,4,1,15,22,15,26,2
2022-06-13,455,931,654,879,203,1,3,0,1,1,21,37,17,36,11
2022-06-14,336,878,638,814,198,1,1,1,0,0,21,28,23,33,11
2022-06-15,381,904,595,771,178,0,1,2,2,0,31,42,18,31,8
2022-06-16,325,726,566,677,174,1,6,1,4,0,24,35,30,31,8
2022-06-17,335,701,519,745,142,1,3,1,3,0,34,30,18,21,6
2022-06-18,244,527,389,528,117,2,3,1,0,0,23,28,10,19,4
2022-06-19,161,440,367,507,101,0,1,0,1,1,12,35,12,28,8
2022-06-20,322,683,542,735,160,1,4,1,2,0,19,38,21,32,9
2022-06-21,485,1092,849,1008,228,2,2,3,4,1,20,48,29,36,6
2022-06-22,480,896,733,985,199,2,0,2,2,1,27,36,34,30,10
2022-06-23,381,851,690,847,177,2,3,1,4,1,17,32,28,29,10
2022-06-24,390,812,605,833,176,0,2,4,6,2,32,56,25,27,8
2022-06-25,267,604,462,599,133,3,4,0,4,0,23,27,22,24,8
2022-06-26,226,625,419,652,137,0,2,1,3,0,16,38,19,41,5
2022-06-27,505,1123,832,1072,263,0,4,4,2,1,33,27,27,38,11
2022-06-28,509,1155,783,989,194,2,3,2,4,0,24,34,24,30,14
2022-06-29,497,1027,830,1035,214,1,2,2,2,2,32,48,27,28,7
2022-06-30,506,879,710,877,176,2,5,0,1,0,52,38,28,34,10
2022-07-01,467,878,681,887,198,2,3,0,1,2,33,37,22,39,10
2022-07-02,317,572,488,677,161,0,5,3,1,0,19,21,34,40,6
2022-07-03,296,634,492,632,159,0,6,2,3,1,29,43,21,31,6
2022-07-04,272,427,434,493,109,1,4,2,5,0,16,32,26,38,7
2022-07-05,790,1501,1084,1523,332,2,7,0,1,0,51,44,24,38,13
2022-07-06,645,1228,961,1235,284,1,3,0,1,0,44,46,30,48,17
2022-07-07,617,1248,903,1207,255,2,2,2,1,1,41,60,24,45,21
2022-07-08,531,1129,779,1127,244,1,3,0,0,0,32,49,29,44,12
2022-07-09,393,759,472,743,184,1,2,2,6,2,25,49,18,31,18
2022-07-10,269,725,522,750,187,3,1,3,1,0,19,43,28,44,14
2022-07-11,744,1411,1040,1466,321,1,0,2,1,1,47,59,34,51,16
2022-07-12,698,1253,850,1200,243,2,4,1,5,0,42,57,37,51,14
2022-07-13,627,1181,816,1141,209,2,3,1,8,0,38,47,31,56,14
2022-07-14,608,1188,763,1114,228,2,4,1,5,1,38,49,27,51,13
2022-07-15,568,1164,732,1084,196,4,2,1,4,0,44,43,32,58,11
2022-07-16,360,633,444,744,177,2,1,1,2,0,38,37,40,32,11
2022-07-17,307,685,524,704,169,2,0,5,9,3,27,53,27,39,10
2022-07-18,627,1259,854,1343,278,3,2,1,3,4,40,67,30,53,18
2022-07-19,650,1166,822,1209,226,2,2,1,4,1,34,66,37,42,18
2022-07-20,643,1124,760,1070,232,3,4,2,3,3,44,54,37,45,15
2022-07-21,536,1004,699,988,206,2,6,2,4,0,47,47,32,53,11
2022-07-22,489,958,624,915,228,1,6,0,9,1,24,47,31,44,12
2022-07-23,325,603,410,688,154,2,8,3,5,1,39,39,25,30,14
2022-07-24,297,598,397,599,140,0,4,1,5,3,32,34,27,30,5
2022-07-25,713,1180,877,1264,254,0,8,5,4,0,39,54,45,49,15
2022-07-26,667,1086,756,1130,243,3,3,2,3,1,41,45,32,39,10
2022-07-27,578,1075,747,1029,225,0,5,3,6,1,32,38,37,44,24
2022-07-28,574,934,629,885,197,4,1,3,6,1,39,34,26,34,11
2022-07-29,500,829,541,856,178,2,5,2,5,2,34,40,29,32,14
2022-07-30,311,494,310,588,118,2,3,5,3,2,29,39,25,35,5
2022-07-31,301,569,333,592,140,4,4,1,2,1,26,43,17,39,14
2022-08-01,645,1107,727,1156,217,1,4,4,3,1,22,53,41,36,15
2022-08-02,570,1032,724,1000,212,2,5,1,6,0,44,51,23,36,9
2022-08-03,570,843,654,933,199,1,3,1,5,1,44,53,25,37,14
2022-08-04,469,849,585,868,191,3,3,0,4,6,30,42,35,36,12
2022-08-05,436,782,523,801,188,2,2,2,8,1,41,46,38,39,13
2022-08-06,302,429,320,517,110,1,7,1,5,2,33,31,18,29,5
2022-08-07,250,445,284,508,129,2,4,1,5,3,27,31,25,26,13
2022-08-08,600,975,638,921,232,2,6,1,6,3,46,49,29,24,11
2022-08-09,531,748,505,772,175,1,2,2,10,2,41,42,33,39,11
2022-08-10,406,801,454,714,180,3,3,0,4,0,38,46,23,34,14
2022-08-11,434,609,419,699,156,1,5,1,0,2,34,44,33,36,7
2022-08-12,363,608,383,561,104,1,2,5,4,1,28,46,24,34,14
2022-08-13,187,357,253,406,95,2,6,3,2,0,18,32,19,21,4
2022-08-14,198,384,238,423,87,2,4,3,5,0,30,26,12,35,5
2022-08-15,431,780,506,780,180,3,3,1,5,1,33,49,19,31,14
2022-08-16,370,667,485,687,167,4,5,2,3,0,31,54,25,22,9
2022-08-17,350,643,413,657,141,4,7,2,6,0,30,58,16,35,5
2022-08-18,331,611,398,647,126,3,3,3,4,1,27,45,21,26,9
2022-08-19,312,530,414,552,123,0,5,3,1,1,36,31,26,22,8
2022-08-20,200,338,233,401,91,2,4,3,5,4,30,31,12,30,6
2022-08-21,183,373,211,397,104,3,5,3,4,1,14,40,15,27,7
2022-08-22,384,667,434,666,136,6,4,2,4,0,47,44,25,24,8
2022-08-23,352,555,442,569,130,3,3,2,3,0,32,30,28,29,9
2022-08-24,308,570,372,538,126,4,3,3,4,1,38,41,20,32,9
2022-08-25,345,523,344,530,103,3,5,1,4,0,24,46,20,30,4
2022-08-26,263,473,353,496,107,4,8,2,3,1,37,35,21,30,10
2022-08-27,190,291,220,341,74,5,1,0,4,1,27,31,12,30,6
2022-08-28,164,327,243,318,65,1,3,4,4,2,19,20,15,30,7
2022-08-29,360,647,429,590,160,0,3,1,1,0,33,44,21,39,8
2022-08-30,289,533,347,575,113,4,4,3,4,0,20,46,23,34,17
2022-08-31,293,534,335,556,120,4,2,3,1,1,20,25,23,27,6
2022-09-01,264,471,324,501,97,0,2,3,1,3,25,33,17,29,5
2022-09-02,239,465,279,411,87,2,3,2,3,2,29,45,20,19,5
2022-09-03,146,215,184,289,88,2,3,1,1,0,15,27,18,22,4
2022-09-04,124,274,195,277,90,2,9,2,4,2,16,24,14,22,2
2022-09-05,157,292,196,277,70,2,3,1,4,0,14,33,12,22,10
2022-09-06,304,600,397,590,152,0,3,1,1,2,33,28,13,38,5
2022-09-07,271,532,390,498,108,2,4,2,2,0,15,42,14,27,5
2022-09-08,229,508,325,513,61,2,5,1,4,1,22,35,19,30,4
2022-09-09,226,461,338,409,76,2,4,0,2,2,22,30,21,25,1
2022-09-10,153,262,208,321,80,3,0,0,5,1,17,26,18,23,7
2022-09-11,121,296,178,289,60,3,4,0,2,1,16,34,16,25,6
2022-09-12,314,628,449,564,112,2,1,0,2,1,19,35,23,31,8
2022-09-13,261,496,385,474,113,2,1,6,4,0,23,31,20,43,7
2022-09-14,315,481,404,516,107,0,1,0,4,2,25,40,11,37,5
2022-09-15,279,424,360,456,135,4,5,2,4,0,23,35,13,29,10
2022-09-16,296,447,321,439,101,3,5,4,6,1,19,23,13,23,9
2022-09-17,184,300,209,312,79,4,3,2,1,0,16,29,11,22,4
2022-09-18,165,359,241,321,73,2,2,1,6,2,18,31,12,25,7
2022-09-19,407,709,495,658,165,2,4,1,4,0,18,31,15,22,10
2022-09-20,385,678,412,615,141,2,1,1,4,1,27,34,19,36,5
2022-09-21,348,592,431,534,135,2,4,1,4,1,21,34,27,32,12
2022-09-22,260,467,320,481,119,1,3,1,4,0,21,29,9,33,12
2022-09-23,266,408,314,427,98,1,1,2,2,1,22,32,24,29,11
2022-09-24,130,287,197,283,94,1,1,1,1,0,21,22,16,25,5
2022-09-25,124,309,220,311,96,2,0,2,2,1,29,30,21,33,7
2022-09-26,292,551,447,572,162,0,3,0,3,1,26,35,16,43,17
2022-09-27,262,525,403,528,179,0,4,1,3,1,29,43,21,30,13
2022-09-28,330,581,416,552,161,0,2,2,2,0,24,45,18,37,14
2022-09-29,237,581,365,497,168,1,4,1,5,0,11,39,18,34,9
2022-09-30,240,442,313,417,164,2,4,1,7,1,24,33,20,34,13
2022-10-01,105,227,173,266,119,2,3,1,3,0,21,30,20,28,8
2022-10-02,125,253,208,256,108,1,3,1,2,2,16,32,20,26,11
2022-10-03,270,554,396,553,182,1,5,1,2,1,24,40,21,33,11
2022-10-04,227,463,360,428,146,2,1,0,3,1,30,40,23,39,15
2022-10-05,212,397,304,441,143,4,6,2,3,1,26,39,17,44,10
2022-10-06,272,551,436,470,159,3,1,2,5,1,15,31,37,39,10
2022-10-07,204,433,360,437,149,1,5,1,4,0,28,22,22,37,10
2022-10-08,138,240,187,309,83,3,1,2,4,1,16,15,13,36,11
2022-10-09,110,256,214,296,101,1,3,3,2,3,17,22,18,23,3
2022-10-10,238,433,377,474,151,1,3,3,4,1,18,24,23,33,7
2022-10-11,295,549,419,554,172,3,2,2,4,2,16,23,27,27,8
2022-10-12,287,569,428,535,136,2,3,0,3,0,24,35,16,26,4
2022-10-13,267,539,373,533,121,5,1,3,3,1,28,26,16,42,11
2022-10-14,254,494,324,438,123,6,2,2,1,0,27,22,25,26,18
2022-10-15,153,277,195,341,62,1,0,1,2,3,15,30,19,31,6
2022-10-16,115,288,181,317,93,4,1,1,2,1,11,18,13,25,8
2022-10-17,310,521,444,643,155,1,3,4,7,1,21,34,19,24,11
2022-10-18,269,524,407,553,106,2,1,3,5,0,18,32,27,33,5
2022-10-19,332,520,392,479,127,1,6,2,4,1,30,44,27,36,11
2022-10-20,239,475,353,462,105,1,2,4,1,1,28,35,25,35,16
2022-10-21,254,459,326,438,86,1,8,4,3,1,22,38,23,25,13
2022-10-22,160,322,232,358,79,1,4,2,1,1,21,41,18,29,12
2022-10-23,172,319,232,312,76,4,3,8,3,1,26,30,18,28,8
2022-10-24,385,679,482,644,141,1,4,4,5,7,32,41,21,35,8
2022-10-25,387,681,415,634,127,4,2,1,9,1,34,45,20,38,10
2022-10-26,362,669,455,661,106,1,6,5,4,1,29,51,26,41,7
2022-10-27,324,574,420,545,109,1,6,1,3,1,16,39,20,33,11
2022-10-28,286,527,375,475,93,0,3,3,6,1,26,40,17,30,6
2022-10-29,178,315,203,382,70,1,4,3,1,1,27,27,18,19,5
2022-10-30,164,352,246,375,84,2,7,2,2,0,16,46,24,33,10
2022-10-31,418,732,422,725,135,5,3,0,5,1,31,52,26,45,5
2022-11-01,408,684,416,668,110,5,3,1,5,0,33,45,24,42,13
2022-11-02,374,709,511,727,116,6,0,1,8,1,31,46,34,37,8
2022-11-03,411,662,442,667,121,1,2,2,9,0,31,36,24,43,9
2022-11-04,333,665,442,619,109,0,3,2,1,1,23,51,27,27,8
2022-11-05,223,397,259,450,65,3,3,4,6,1,25,40,20,36,7
2022-11-06,185,455,251,460,93,2,2,1,4,3,25,23,19,26,15
2022-11-07,472,864,540,790,166,3,5,0,4,1,35,46,24,41,3
2022-11-08,366,747,440,639,100,1,5,3,3,3,34,54,28,35,6
2022-11-09,399,676,421,652,129,2,7,4,7,0,30,38,26,22,8
2022-11-10,368,628,401,516,94,1,4,2,3,2,29,40,29,52,7
2022-11-11,286,448,317,475,98,1,8,5,8,3,34,39,32,43,7
2022-11-12,210,462,263,496,107,1,4,3,5,2,24,42,16,26,9
2022-11-13,220,411,247,402,94,0,2,1,5,0,27,30,22,26,9
2022-11-14,539,865,572,846,135,1,5,2,6,2,42,35,38,48,8
2022-11-15,394,725,490,670,108,4,2,6,5,1,35,45,23,40,5
2022-11-16,419,665,479,660,102,2,8,2,4,1,36,47,29,33,7
2022-11-17,309,558,355,570,98,2,5,3,3,0,24,56,27,41,11
2022-11-18,275,502,281,442,68,5,3,0,5,1,24,46,19,36,5
2022-11-19,174,329,209,381,62,2,7,2,4,2,13,31,21,22,5
2022-11-20,180,430,252,387,89,3,7,2,7,0,31,41,27,31,8
2022-11-21,488,890,605,860,168,0,7,3,6,0,32,43,39,51,7
2022-11-22,415,826,540,795,125,3,2,6,3,2,29,36,33,53,6
2022-11-23,426,788,561,788,136,2,5,1,3,3,34,49,33,49,8
2022-11-24,162,314,183,302,46,3,9,1,4,0,23,39,22,43,8
2022-11-25,355,651,420,733,111,1,5,2,7,0,39,57,27,51,11
2022-11-26,358,584,349,636,111,2,3,1,2,0,34,58,37,42,5
2022-11-27,271,640,351,620,139,0,5,1,2,2,33,64,35,49,11
2022-11-28,822,1496,821,1391,245,3,9,3,2,2,42,67,31,53,15
2022-11-29,695,1134,706,1151,190,7,4,0,7,0,48,69,28,54,6
2022-11-30,578,980,528,971,152,1,7,3,5,0,51,73,32,70,7
2022-12-01,564,900,545,944,121,3,1,2,8,2,45,53,33,50,10
2022-12-02,523,856,562,917,113,3,5,1,6,0,49,55,39,51,7
2022-12-03,245,492,277,550,94,2,9,5,4,2,38,61,39,49,8
2022-12-04,262,584,321,569,101,4,2,2,4,1,46,34,34,43,6
2022-12-05,705,1227,733,1209,220,1,8,1,4,2,55,66,35,52,13
2022-12-06,564,1000,551,1018,167,3,6,2,5,3,45,60,28,52,16
2022-12-07,574,1052,662,961,166,3,3,4,4,0,38,66,47,67,9
2022-12-08,526,909,591,972,142,6,7,3,5,0,45,55,31,52,17
2022-12-09,545,843,609,836,145,2,6,4,5,0,38,62,33,48,9
2022-12-10,287,521,284,543,92,6,3,3,5,1,34,68,24,43,11
2022-12-11,249,565,261,486,122,8,7,6,7,2,25,45,25,47,11
2022-12-12,723,1204,796,1156,184,0,6,4,9,1,45,75,37,45,10
2022-12-13,636,1083,736,992,184,4,4,2,8,1,52,60,48,56,11
2022-12-14,571,1004,670,991,176,4,7,1,11,1,48,57,39,72,11
2022-12-15,478,926,503,891,162,6,7,4,7,3,43,54,43,63,10
2022-12-16,463,774,483,774,164,4,6,3,3,3,48,66,29,61,22
2022-12-17,326,588,371,615,126,2,4,5,8,0,33,43,22,52,13
2022-12-18,261,589,328,533,152,1,7,5,9,5,40,47,32,34,15
2022-12-19,659,1158,710,1130,282,0,5,4,5,2,42,51,54,52,27
2022-12-20,625,1025,642,959,187,4,11,5,5,1,44,54,29,49,13
2022-12-21,577,984,622,949,209,3,10,3,8,0,40,54,39,55,16
2022-12-22,474,849,545,799,173,4,3,6,6,2,37,67,29,59,16
2022-12-23,391,696,436,715,161,7,8,4,6,3,34,45,34,39,17
2022-12-24,175,318,152,305,72,4,9,3,7,2,30,44,21,21,10
2022-12-25,139,263,145,228,67,5,7,2,6,7,40,40,27,31,11
2022-12-26,350,742,380,681,167,3,7,6,9,3,36,49,39,52,14
2022-12-27,612,1000,509,1108,239,5,10,4,7,0,42,53,36,70,26
2022-12-28,604,908,516,891,253,6,10,4,9,1,51,65,34,71,22
2022-12-29,582,891,506,888,210,2,11,6,7,2,51,60,41,59,18
2022-12-30,506,780,462,783,167,6,9,4,8,4,59,48,53,63,18
2022-12-31,255,419,229,431,120,4,4,5,5,2,46,44,30,57,14
2023-01-01,181,362,164,339,93,2,12,2,9,3,46,48,33,59,23
2023-01-02,431,867,460,860,194,2,1,5,10,2,41,53,32,42,16
2023-01-03,692,1092,673,1098,237,2,10,2,9,1,46,49,39,77,10
2023-01-04,650,938,589,971,190,6,8,1,9,0,37,66,23,44,16
2023-01-05,534,844,509,844,143,8,7,4,5,1,48,59,36,60,20
2023-01-06,477,694,462,697,145,6,13,6,9,3,28,44,28,47,13
2023-01-07,239,403,268,461,84,2,7,5,4,1,35,33,29,33,12
2023-01-08,180,401,252,404,108,6,4,3,3,2,24,37,32,23,11
2023-01-09,512,867,494,802,188,5,6,6,7,1,27,61,29,60,20
2023-01-10,466,756,420,668,133,1,5,2,10,1,23,53,41,53,9
2023-01-11,427,733,362,581,110,4,5,4,3,1,42,44,24,51,11
2023-01-12,370,656,365,560,127,2,6,3,4,3,31,43,22,37,7
2023-01-13,353,552,313,518,107,2,6,2,6,2,38,41,28,40,11
2023-01-14,182,301,202,340,89,6,4,3,7,3,27,25,22,30,15
2023-01-15,173,318,179,286,79,4,2,3,7,1,28,23,20,17,7
2023-01-16,276,561,278,478,117,3,6,2,4,3,36,42,18,38,12
2023-01-17,483,738,394,676,149,4,5,4,6,1,33,47,19,49,15
2023-01-18,373,534,298,485,103,0,5,1,6,2,33,40,34,43,7
2023-01-19,327,510,304,448,92,5,5,0,1,3,34,38,24,28,10
2023-01-20,310,488,327,456,104,2,5,3,8,1,31,26,36,24,14
2023-01-21,176,308,134,322,58,5,5,4,7,1,28,31,14,32,5
2023-01-22,154,269,160,269,94,3,9,2,7,0,21,30,16,17,10
2023-01-23,377,572,330,544,118,1,5,4,3,2,32,38,26,38,10
2023-01-24,363,493,298,498,96,4,9,3,9,3,34,32,16,28,2
2023-01-25,282,451,272,370,108,1,6,2,7,3,21,38,20,30,10
2023-01-26,277,452,273,403,111,3,6,0,3,2,26,29,17,27,13
2023-01-27,271,401,251,353,105,3,3,4,6,0,24,29,17,24,9
2023-01-28,149,239,145,222,69,2,6,1,5,0,18,36,19,24,9
2023-01-29,114,208,128,193,87,1,4,6,4,1,21,28,13,17,9
2023-01-30,332,607,305,507,135,3,5,1,5,3,23,45,22,33,12
2023-01-31,277,488,249,383,91,4,6,3,2,3,26,35,19,29,5
2023-02-01,229,379,191,325,60,1,6,3,7,0,16,27,19,23,15
2023-02-02,202,355,185,301,79,4,5,3,4,0,23,25,19,25,11
2023-02-03,175,294,169,239,69,1,6,4,0,3,20,30,14,19,14
2023-02-04,86,110,74,143,47,5,6,3,3,3,16,22,16,20,8
2023-02-05,94,173,84,154,45,3,3,2,3,1,22,26,20,19,4
2023-02-06,244,446,279,358,113,1,2,4,3,1,28,25,11,22,8
2023-02-07,209,357,213,302,92,1,3,1,2,2,28,19,17,16,10
2023-02-08,177,268,200,257,59,1,2,1,4,0,21,14,17,13,4
2023-02-09,152,240,149,245,52,2,1,1,4,1,12,7,11,6,6
2023-02-10,151,234,160,227,53,0,1,1,1,1,1,2,0,1,0
2023-02-11,87,129,88,119,31,1,0,0,0,0,0,0,0,0,0
